Date,Open,High,Low,Close,Volume,Company,FEMA,SEMA,DIFF,SIGNAL,HISTOGRAM
1981-02-04,0.4,0.41,0.4,0.4,6966400,aapl,0.3392857142857143,0.4218192307692307,-0.08253351648351642,-0.08018684981684973,-0.0023466666666666913
1981-02-05,0.4,0.41,0.4,0.4,1982400,aapl,0.3392857142857143,0.4218192307692307,-0.08253351648351642,-0.08018684981684973,-0.0023466666666666913
1981-02-06,0.41,0.41,0.41,0.41,3466400,aapl,0.3407857142857143,0.4225192307692307,-0.0817335164835164,-0.08002684981684974,-0.0017066666666666619
1981-02-09,0.39,0.39,0.38,0.38,4188800,aapl,0.3362857142857143,0.4204192307692307,-0.08413351648351641,-0.08050684981684973,-0.003626666666666681
1981-02-10,0.38,0.39,0.38,0.38,4586400,aapl,0.3362857142857143,0.4204192307692307,-0.08413351648351641,-0.08050684981684973,-0.003626666666666681
1981-02-11,0.37,0.37,0.37,0.37,3460800,aapl,0.3347857142857143,0.4197192307692307,-0.08493351648351638,-0.08066684981684973,-0.004266666666666655
1981-02-12,0.37,0.37,0.37,0.37,3640000,aapl,0.3347857142857143,0.4197192307692307,-0.08493351648351638,-0.08066684981684973,-0.004266666666666655
1981-02-13,0.36,0.36,0.36,0.36,2788800,aapl,0.3332857142857143,0.4190192307692307,-0.0857335164835164,-0.08082684981684973,-0.00490666666666667
1981-02-17,0.37,0.37,0.37,0.37,3068800,aapl,0.3347857142857143,0.4197192307692307,-0.08493351648351638,-0.08066684981684973,-0.004266666666666655
1981-02-18,0.38,0.39,0.38,0.38,4810400,aapl,0.3362857142857143,0.4204192307692307,-0.08413351648351641,-0.08050684981684973,-0.003626666666666681
1981-02-19,0.36,0.36,0.36,0.36,5577600,aapl,0.3332857142857143,0.4190192307692307,-0.0857335164835164,-0.08082684981684973,-0.00490666666666667
1981-02-20,0.34,0.34,0.34,0.34,6092800,aapl,0.3302857142857143,0.4176192307692307,-0.0873335164835164,-0.08114684981684973,-0.00618666666666666
1981-02-23,0.35,0.35,0.35,0.35,3528000,aapl,0.3317857142857143,0.4183192307692307,-0.08653351648351643,-0.08098684981684974,-0.005546666666666686
1981-02-24,0.34,0.34,0.34,0.34,4244800,aapl,0.3302857142857143,0.4176192307692307,-0.0873335164835164,-0.08114684981684973,-0.00618666666666666
1981-02-25,0.36,0.36,0.36,0.36,4872000,aapl,0.3332857142857143,0.4190192307692307,-0.0857335164835164,-0.08082684981684973,-0.00490666666666667
1981-02-26,0.36,0.36,0.36,0.36,2710400,aapl,0.3332857142857143,0.4190192307692307,-0.0857335164835164,-0.08082684981684973,-0.00490666666666667
1981-02-27,0.37,0.38,0.37,0.37,3690400,aapl,0.3347857142857143,0.4197192307692307,-0.08493351648351638,-0.08066684981684973,-0.004266666666666655
1981-03-02,0.38,0.38,0.38,0.38,2940000,aapl,0.3362857142857143,0.4204192307692307,-0.08413351648351641,-0.08050684981684973,-0.003626666666666681
1981-03-03,0.37,0.37,0.37,0.37,4043200,aapl,0.3347857142857143,0.4197192307692307,-0.08493351648351638,-0.08066684981684973,-0.004266666666666655
1981-03-04,0.37,0.37,0.37,0.37,3427200,aapl,0.3347857142857143,0.4197192307692307,-0.08493351648351638,-0.08066684981684973,-0.004266666666666655
1981-03-05,0.37,0.37,0.37,0.37,1344000,aapl,0.3347857142857143,0.4197192307692307,-0.08493351648351638,-0.08066684981684973,-0.004266666666666655
1981-03-06,0.37,0.37,0.36,0.36,2900800,aapl,0.3332857142857143,0.4190192307692307,-0.0857335164835164,-0.08082684981684973,-0.00490666666666667
1981-03-09,0.34,0.34,0.33,0.33,3830400,aapl,0.3287857142857143,0.4169192307692307,-0.08813351648351642,-0.08130684981684974,-0.006826666666666675
1981-03-10,0.32,0.32,0.32,0.32,7095200,aapl,0.3272857142857143,0.4162192307692307,-0.08893351648351638,-0.08146684981684973,-0.007466666666666649
1981-03-11,0.31,0.31,0.31,0.31,7464800,aapl,0.3257857142857143,0.4155192307692307,-0.0897335164835164,-0.08162684981684973,-0.008106666666666679
1981-03-12,0.32,0.32,0.32,0.32,14812000,aapl,0.3272857142857143,0.4162192307692307,-0.08893351648351638,-0.08146684981684973,-0.007466666666666649
1981-03-13,0.32,0.32,0.31,0.31,57825600,aapl,0.3257857142857143,0.4155192307692307,-0.0897335164835164,-0.08162684981684973,-0.008106666666666679
1981-03-16,0.33,0.33,0.33,0.33,9307200,aapl,0.3287857142857143,0.4169192307692307,-0.08813351648351642,-0.08130684981684974,-0.006826666666666675
1981-03-17,0.34,0.35,0.34,0.34,10936800,aapl,0.3302857142857143,0.4176192307692307,-0.0873335164835164,-0.08114684981684973,-0.00618666666666666
1981-03-18,0.36,0.37,0.36,0.36,9234400,aapl,0.3332857142857143,0.4190192307692307,-0.0857335164835164,-0.08082684981684973,-0.00490666666666667
1981-03-19,0.36,0.36,0.36,0.36,9452800,aapl,0.3332857142857143,0.4190192307692307,-0.0857335164835164,-0.08082684981684973,-0.00490666666666667
1981-03-20,0.36,0.37,0.36,0.36,3651200,aapl,0.3332857142857143,0.4190192307692307,-0.0857335164835164,-0.08082684981684973,-0.00490666666666667
1981-03-23,0.38,0.38,0.38,0.38,5504800,aapl,0.3362857142857143,0.4204192307692307,-0.08413351648351641,-0.08050684981684973,-0.003626666666666681
1981-03-24,0.38,0.38,0.38,0.38,7039200,aapl,0.3362857142857143,0.4204192307692307,-0.08413351648351641,-0.08050684981684973,-0.003626666666666681
1981-03-25,0.37,0.37,0.37,0.37,1764000,aapl,0.3347857142857143,0.4197192307692307,-0.08493351648351638,-0.08066684981684973,-0.004266666666666655
1981-03-26,0.36,0.36,0.36,0.36,3068800,aapl,0.3332857142857143,0.4190192307692307,-0.0857335164835164,-0.08082684981684973,-0.00490666666666667
1981-03-27,0.35,0.35,0.35,0.35,3063200,aapl,0.3317857142857143,0.4183192307692307,-0.08653351648351643,-0.08098684981684974,-0.005546666666666686
1981-03-30,0.35,0.35,0.35,0.35,2475200,aapl,0.3317857142857143,0.4183192307692307,-0.08653351648351643,-0.08098684981684974,-0.005546666666666686
